id,name,type,description,confidence,mentions,is_anchor
139,锦香池,建筑遗迹,清代佛山祖庙中轴线上的主要建筑之一,0.95,23,0
140,郭沫若,人物,著名历史学家、文学家，与赵朴初等人赞美佛山祖庙,0.95,23,0
141,梁桂华,人物,革命烈士,0.95,23,0
142,辛亥革命,历史事件,1911年爆发的推翻清朝统治的革命,0.95,23,0
143,杜国彪,人物,中共佛山特别支部成员，参与游击政工干部训练班,0.95,23,0
144,南海市,地名,佛山市下属的一个区,0.95,23,0
145,区芳浦,人物,名誉校董之一,0.95,23,0
146,民国时期,朝代年号,1912-1949年间，广东画坛活跃时期,0.95,22,0
147,陈开,人物,佛山天地会首领，与何禄共同领导起义,0.95,22,0
148,黄君璧,人物,台湾中国画坛杰出画家，被誉为‘国三画杰’之一,0.95,22,0
149,钟毅弘,人物,佛山人，民国到新中国成立初期画家，作品被佛山市博物馆收藏,0.95,22,0
150,香云纱,非遗技艺,一种传统的丝绸织物，具有独特的色泽和质地,0.95,22,0
151,铁桥三,人物,岭南十虎之首，飞鸿父的师傅,0.95,22,0
152,宝芝林,非遗技艺,黄飞鸿与继室莫桂兰苦心经营数十载的武馆，匾额题写技艺皆精,0.85,22,0
153,琼花会馆,建筑遗迹,佛山传统演出场所，每年进行重新组班后的首场演出必在祖庙万福台举行,0.95,21,0
154,潘玉书,人物,20世纪初的陶瓷名家之一,0.95,21,0
155,南海师范,地名,佛山市南海区的一个地名,0.95,21,0
156,居廉,人物,晚清至民国时期著名画家，擅长花鸟画,0.95,21,0
157,礼山草堂,建筑遗迹,朱次琦居住和研究的地方,0.9,21,0
158,金山古寺,建筑遗迹,位于南海区的一座历史悠久的寺庙，现存有拓本和大殿内的佛像,0.95,21,0
159,端方,人物,清末官员，曾出洋考察政治,0.95,21,0
160,真武,人物,道教神灵，玄武大帝,0.95,20,0
161,张云峰,人物,工代会成员，被捕后被杀害,0.95,20,0
162,大沥镇,地名,佛山市南海区的一个镇，曾有业余曲艺队活跃,0.95,20,0
163,张明基,人物,年画和宣传画作者，作品参加省美展,0.95,20,0
164,孔子,人物,春秋时期的思想家、教育家，儒家学派创始人,0.95,20,0
165,黄梓林,人物,名誉校董之一,0.95,20,0
166,黄永藻,人物,石门中学体育教师，事迹被校友记述,0.95,20,0
167,明代,朝代年号,明代修纂一统志完善方志体系,0.95,19,0
168,陈献章,人物,明代著名理学家，与李子长交往密切，被称作'陈李二仙',0.95,19,0
169,南海衣冠,典籍作品,南海历代文教昌盛、人才辈出的代用语,0.95,19,0
170,陈炎宗,人物,清代翰林院庶吉士,0.95,19,0
171,崇正社学,建筑遗迹,清代佛山祖庙中轴线左侧的建筑之一,0.95,19,0
172,嘉会堂,建筑遗迹,佛山祖庙内的历史建筑，曾扩建并由李公命名,0.95,19,0
173,大头佛,非遗技艺,佛山秋色中的重要表演项目之一,0.95,19,1
174,马师曾,人物,著名粤剧表演艺术家，与薛觉先齐名,0.95,19,0
175,西樵大饼,物产饮食,南海区传统糕点之一，口感独特,0.95,19,0
176,潘新安,人物,香港榆社诗人,0.95,19,0
177,显纲村,地名,南海区的一个古村落，历史悠久,0.95,19,0
178,湛若水,人物,明代哲学家，南粤先贤之一,0.95,18,0
179,光孝寺,建筑遗迹,佛教寺庙，位于南海县,0.95,18,0
180,九江双蒸酿制技艺,非遗技艺,南海区传统酿造技艺之一,0.95,18,0
181,嘉庆,朝代年号,清朝皇帝年号，文中指嘉庆年间恢复乡饮酒礼的事件,0.95,18,0
182,通济桥,建筑遗迹,佛山西南要津著名桥梁，由李待问和庞景忠捐修,0.95,18,0
183,邓芬,人物,广东国画名家，1894-1946年，被誉为国画家，作品《人竹林七贤图》在国际展览中获奖,0.95,18,0
184,徐悲鸿,人物,著名画家，对中国现代美术有深远影响,0.95,18,0
185,千灯湖,地名,佛山市南海区的地名,0.95,18,0
186,北江,地名,珠江支流，佛山地区重要水道,0.95,18,0
187,观音庙,建筑遗迹,供奉观音菩萨的庙宇，村民信仰中心,0.95,18,0
188,邓文初,人物,南海县委副 书记，参与县文艺节相关活动,0.95,18,0
189,宝芝林药店,建筑遗迹,黄飞鸿开设的药店，位于佛山,0.85,18,0
190,龙船饭,非遗技艺,扒龙舟后举行的宴席，具有浓厚的民俗文化色彩,0.95,18,0
191,杜益谦,人物,南海县盐步白沙乡人，曾任粤军第一师参谋、第八路军参谋处长兼军士教导队主任等职,0.95,18,0
192,李景宗,人物,石门中学校长,0.95,18,0
193,石中,建筑遗迹,后门中学的旧称,0.9,18,0
194,李文茂,人物,清代反清义军领袖,0.95,17,0
195,三门,建筑遗迹,清代佛山祖庙中轴线上的主要建筑之一,0.95,17,0
196,何淡如,人物,晚清时期广东南海人，以谐联、谐诗、谐文著称，被誉为‘幽默大师’、‘联对圣手’，是广东谐趣通俗文学家。,0.95,17,0
197,黄鲁逸,人物,优天影剧社发起人之一,0.95,17,0
198,十番音乐,非遗技艺,一种民间传统音乐形式，包括曲牌和打击乐技艺,0.95,17,0
199,简照南,人物,清末旅日华侨，与弟弟简玉阶创办南洋兄弟烟草公司,0.95,17,0
200,南海郡,地名,古代行政区划,0.95,17,0
201,光绪三十二年,朝代年号,1906年，清末时期,0.95,17,0
202,高士祠,建筑遗迹,位于西樵山披云台右侧的道观,0.95,17,0
203,大岗圩,地名,位于佛山市南海区西樵山旅游度假区内,0.95,17,1
204,慈禧太后,人物,清朝末代皇帝慈禧的称号,0.95,17,0
205,南海古村,建筑遗迹,清代和明清以前传统建筑为主，村落保存完好,0.95,17,0
206,华光庙,建筑遗迹,供奉华光神像的庙宇，佛山传统民俗活动地点,0.95,16,0
207,何氏,宗族姓氏,李允中之妻，守節24年,0.95,16,0
208,鸦片战争,历史事件,1840年至1842年英国对中国发动的侵略战争,0.95,16,0
209,光绪二十五年,朝代年号,清光绪年间，1899年,0.95,16,0
210,忠义乡,地名,佛山的一个区域，曾是剧镇,0.95,16,0
211,观音,人物,佛教中的菩萨，救苦救难的化身,0.95,16,0
212,光绪二十二年,朝代年号,1896年，浮雕制作于该年份,0.95,16,0
213,塔坡寺,建筑遗迹,佛山最古老的佛教寺庙之一，有千年历史,0.95,16,0
214,梁储,人物,成化十四年登会元，官至内阁首辅、太子太师文渊阁大学士。世居石硝。,0.95,16,0
215,黄君壁,人物,20世纪画家，对佛山画坛有深远影响,0.95,16,0
216,陈树人,人物,辛亥革命元老，国民政府侨务会委员长,0.95,16,0
217,抗日战争,历史事件,文中提及的抗日战争时期,0.95,16,0
218,李景康,人物,《五湾陶业考》的作者,0.95,16,0
219,关德兴,人物,著名粤剧演员，与何浪萍结成艺术伙伴,0.95,16,0
220,赵少昂,人物,20世纪画家，广东人,0.95,16,0
221,梁复燃,人物,,0.95,16,0
222,周侠生,人物,民国时期佛山工人代表，参与保卫大会等革命活动,0.95,16,0
223,梁财信,人物,被潘日舒收为徒弟，跟随行医的青年商人,0.95,16,0
224,甲午战争,历史事件,1894-1895年日本对中国发动的侵略战争,0.95,16,0
225,林则徐,人物,清代政治家、民族英雄，与陈渭岩的作品相关,0.95,16,0
226,白云古寺,建筑遗迹,西樵山上的古寺，与云泉仙馆、三湖书院等并列名胜古迹,0.95,16,1
227,《梦溪笔谈》,典籍作品,北宋科学家沈括所著的科学著作,0.95,16,0
228,南海美食,物产饮食,南海地区的特色食品和小吃,0.95,16,0
229,狮山镇,地名,佛山市南海区的一个镇,0.95,16,0
230,铁线拳,非遗技艺,黄飞鸿擅长的武术技艺之一,0.95,16,0
231,《孔子改制考》,典籍作品,康有为著作，阐述其变法理论,0.95,16,0
232,江孔殷,人物,光绪三十年甲辰科进士，编修,0.95,16,0
233,张达衡,人物,顾问之一,0.95,16,0
234,九江关氏,宗族姓氏,文中提及的具有地方文化意义的宗族,0.95,15,0
235,三水,地名,佛山市下辖县,0.95,15,0
236,三元里,地名,佛山市南海区的一个地名，在文中多次提及战斗发生地,0.95,15,0
237,番禺,地名,清军和番禺团练共同进某之地,0.95,15,0
238,佛山秋色,非遗技艺,佛山传统民俗活动，国家级非物质文化遗产,0.95,15,0
239,正殿,建筑遗迹,清代佛山祖庙中轴线上的主要建筑之一,0.95,15,0
240,仁寿寺,建筑遗迹,佛山著名佛教寺庙之一,0.95,15,0
241,《佛山忠义乡志》,典籍作品,清代佛山地区的乡土志书,0.95,15,0
242,佛山市博物馆,地名,佛山市内的市级博物馆,0.95,15,0
243,万真观,建筑遗迹,佛山的一座道观，由崔合顺修建并担任住持,0.95,15,0
244,佛山书院,建筑遗迹,明清时期的著名教育机构，佛山祖庙对其有资助,0.9,15,0
245,慈禧,人物,晚清时期的政治人物,0.95,15,0
246,李右泉,人物,经营盐步绵远纸厂，采取三项整顿改革措施使工厂起死回生,0.95,15,0
247,石湾陶,物产饮食,佛山市南海区的传统陶瓷制品,0.95,15,0
248,陈济棠,人物,广东近代政治家，曾治理广东省期间推动商运动会与抗税活动,0.95,15,0
249,石湾陶塑,非遗技艺,佛山传统民间陶塑技艺，以人物、建筑、动植物造型著称,0.95,15,0
250,苏仁山,人物,清代画家，擅长山水画,0.95,15,0
251,潘达微,人物,南海区画家，作品被佛山市博物馆收藏,0.95,15,0
252,石涛,人物,明末清初画家，对招子庸的绘画风格有一定影响,0.95,15,0
253,梁园,建筑遗迹,建于清代的园林建筑,0.95,15,0
254,马万祺,人物,澳门佛山联谊会会长，参与组织文化交流活动,0.95,15,0
255,澳门,地名,中国特别行政区之一,0.95,15,0
256,华英中学,建筑遗迹,旧校址在文昌沙尾，曾为纪念投资人Dr Haigh而建，后发展为中学兼办小学,0.95,15,0
257,南海县粤剧团,非遗技艺,1963-1987年间活跃的粤剧演出团体,0.95,15,0
258,吴以孝,人物,南海县文艺界代表，出席市级会议,0.95,15,0
259,程大同,人物,代表县政府参加文化活动的人士,0.95,15,0
260,李巨龙,人物,,0.95,15,0
261,黄岐,地名,佛山市南海区的一个镇,0.95,15,0
262,关山月,人物,岭南画派著名画家，曾任美协广东分会理事,0.95,15,0
263,西樵中学,建筑遗迹,西樵山地区创办的中学，曾多次开办停办,0.95,15,0
264,宝峰寺,建筑遗迹,西樵山上的古寺，有怪芝等奇观,0.95,15,0
265,云雾茶,物产饮食,西樵山特有的茶叶品种,0.95,15,0
266,继昌隆缫丝厂,建筑遗迹,陈启沅创办的中国第一个民族资本经营的现代丝工厂,0.95,15,0
267,吕洞宾,人物,道教传说中的八仙之一，传说中的人物,0.95,15,0
268,莫桂兰,人物,黄飞鸿的妻子，与黄飞鸿有深厚感情,0.95,15,0
269,《欧美政治要义》,典籍作品,戴鸿慈考察欧美政治后汇编的著作,0.95,15,0
270,光绪皇帝,人物,清朝第十一任皇帝，戊戌变法的倡导者之一,0.95,15,0
271,陈仁康,人物,石门中学学生，体育专业运动员第一人,0.95,15,0
272,霍芝庭,人物,芝庭堂捐建者，广东省著名豪富,0.95,15,0
273,上海,地名,中国直辖市之一，与佛山有贸易往来,0.95,14,0
274,咸丰四年,朝代年号,清朝咸丰年间，1854年,0.95,14,0
275,潘氏,宗族姓氏,陳瀚和之妻，守節29年,0.95,14,0
276,真武大帝,人物,道教神祇，祖庙主神，象征皇权和军队统领,0.95,14,0
277,海瑞,人物,明代忠臣，嘉靖年间曾任户部主事，批评世宗听信奸臣,0.95,14,0
278,光绪年间,朝代年号,清末时期，具体指光绪年间,0.95,14,0
279,岭南,地名,泛指广东、广西地区，文中提到原始社会时期百越之地,0.95,14,0
280,陈姓,宗族姓氏,四大家鱼村的主要姓氏之一,0.95,14,0
281,天后庙,建筑遗迹,村内供奉天后的庙宇,0.95,14,0
282,康广仁,人物,康有为的胞弟，参与戊戌变法,0.95,14,0
283,谭平山,人物,革命家,0.95,14,0
284,周敦颐,人物,理学开山祖师，宋代哲学家,0.95,14,0
285,何灼强,人物,世界冠军，文中提到的教练,0.95,14,0
286,广三铁路,物产饮食,连接广州和三水的早期铁路,0.95,14,0
287,三山,建筑遗迹,靠近城南的山脉,0.95,14,0
288,岭南大学,建筑遗迹,位于广州，陶达曾就读于此并任教,0.9,14,0
289,林超群,人物,粤剧演员，'一门三杰'之一，出生于南海平洲平北西河村澳边坊,0.95,14,0
290,简玉阶,人物,清末旅日华侨，与哥哥简照南创办南洋兄弟烟草公司,0.95,14,0
291,大沥圩,地名,南海区地名，文中提到的工农武装后撤地点,0.95,14,0
292,康有为纪念馆,建筑遗迹,位于南海县，纪念康有为的纪念馆,0.95,14,0
293,南海艺术节,历史事件,南海县举办的文艺活动，包括汇演和颁奖大会,0.95,14,0
294,大科峰,建筑遗迹,西樵山的著名山峰，曾有理学家修建十台,0.95,14,0
295,大科书院,建筑遗迹,明代樵山讲学中心，湛若水曾在此授课,0.95,14,0
296,李应林,人物,曾任立法委员、岭南学堂学生、美国奥柏林大学学生、广州市基督教青年会总干事等,0.95,14,0
297,永春拳,非遗技艺,中国南拳中的一大门派，发祥地在南海佛山镇,0.95,14,0
298,南海学宫,建筑遗迹,南海地区的古代学校建筑,0.95,13,0
299,土地庙,建筑遗迹,村内供奉土地神的庙宇,0.95,13,0
300,太平,地名,南海区的一个镇街,0.95,13,0
301,湛甘泉,人物,明代思想家、教育家，字元明，号甘泉，南海人,0.95,13,0
302,万历,朝代年号,明朝万历年间的说法,0.95,13,0
303,泌冲,地名,神安司下辖的堡之一,0.95,13,0
304,梁氏,宗族姓氏,梁姓女性，文中提及的南海区传统宗族姓氏,0.95,13,0
305,安南,地名,文中提到的历史地名，指今越南北部地区,0.9,13,0
306,石湾公仔,非遗技艺,佛山传统陶塑工艺品，国家级非物质文化遗产,0.95,13,0
307,龙舟说唱,非遗技艺,南海区传统龙舟文化活动中的表演形式,0.95,13,0
308,季华乡,地名,两晋时期南海县的乡名,0.95,13,0
309,钱维方,人物,民国时期佛山土木建筑工会会长,0.95,13,0
310,董必武,人物,中国共产党早期领导人，题词支持佛山剪纸,0.95,13,0
311,陈铁军,人物,革命烈士,0.95,13,0
312,周启刚,人物,侨务先驱,0.95,13,0
313,中山桥,建筑遗迹,民国时期佛山建成的桥梁，现名人民桥,0.95,13,0
314,精武会,非遗技艺,武术团体，传播武术文化，组织国操汇演和竞赛活动,0.95,13,0
315,太平村,地名,位于西樵山旅游度假区西部的村落,0.95,13,0
316,梁九图,人物,梁天眷的先祖，岭南著名书画家,0.95,13,0
317,刘海粟,人物,中国近现代著名画家,0.95,13,0
318,顺德县,地名,广东省佛山市下辖县,0.95,13,0
319,升平路,地名,佛山市南海区的一条道路,0.95,13,0
320,陈恭受,人物,曾回乡鱼肉乡民，1950年被处决,0.95,13,0
321,大同,地名,南海区的一个乡镇,0.95,13,0
322,何剑士,人物,清代漫画家，写尽国仇家恨与民间疾苦的岭南派画家,0.95,13,0
323,百日维新,历史事件,戊戌变法的一部分,0.95,13,0
324,粤汉铁路,物产饮食,晚清时期修建的一条重要铁路线，连接广东和湖北,0.85,13,0
325,采青,非遗技艺,南海地区龙舟赛前的传统仪式,0.95,13,0
326,黄遵宪,人物,晚清著名政治家、外交家，广东嘉应州人,0.95,13,0
327,张义联,人物,南海副县长，参与县文艺节相关活动,0.95,13,0
328,谢桂森,人物,《文艺创作水乡江国画》获奖者,0.95,13,0
329,郭亚明,人物,南海市业余书法家，书法作品获奖,0.95,13,0
330,小塘镇,地名,佛山市南海区的一个镇,0.95,13,0
331,梁炜彬,人物,2000年在中国文化报发表文章,0.95,13,0
332,《大同书》,典籍作品,康有为的代表作，阐述大同理想,0.95,13,0
333,西樵山旅游度假区,地名,佛山市南海区的旅游区域,0.95,13,0
334,华平村,地名,位于佛山市南海区狮山镇,0.95,13,0
335,白云山,地名,广州市的一座山脉,0.95,13,0
336,《蚕桑谱》,典籍作品,陈启沅所著，共二卷,0.95,13,0
337,继昌隆丝厂,物产饮食,中国早期民族资本经营的机器缫丝厂之一,0.9,13,0
338,陈凤江,人物,中华民国时期南海县四司联防局局长，参与筹建石门中学,0.95,13,0
339,九江先生,人物,文中提及的教育家，文章发表于《大风杂志》,0.95,13,0
340,邝露,人物,明末清初抗清复明文武双全人物，大镇村出生地,0.95,13,0
341,明伦堂,建筑遗迹,一座五间，教授朱元荐建,0.95,12,0
342,同治,朝代年号,清代同治年间历史时期,0.95,12,0
343,关帝庙,建筑遗迹,位于育贤坊，道光年间叶汉阳重修,0.95,12,0
344,陈恭尹,人物,岭南三忠之一，陈邦彦之子,0.95,12,0
345,嘉靖,朝代年号,明朝第12位皇帝朱厚熜的年号,0.95,12,0
346,珠江,地名,广东境内的一条河流,0.9,12,0
347,桂林,地名,广西壮族自治区的地级市,0.9,12,0
348,绮亭陈公祠,建筑遗迹,多次获得南海市政府拨款进行维修的清代建筑遗迹,0.95,12,1
349,陈氏,宗族姓氏,南海西樵山南村的次要姓氏之一,0.95,12,0
350,咸丰元年,朝代年号,清朝咸丰年间，1851年,0.95,12,0
351,三元市,地名,佛山的一个街区名称,0.95,12,0
352,秋色,非遗技艺,佛山传统民俗活动，以游行为主要形式,0.95,12,0
353,广东,地名,广东省，位于中国南部,0.9,12,0
354,张荫桓,人物,晚清官员，曾出使多国,0.95,12,0
